,text
2955, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell dosering-strukturert: Dosering Individuell og avhenger av energiforbruk  klinisk status  kroppsvekt og evnen til å metabolisere innholdsstoffene  samt oralt/enteralt tillegg av energi eller proteiner. Posestørrelse velges tilsvarende. Maks. daglig dose bør ikke overskrides. Pga. flerkammerposens statiske sammensetning  er det mulig at ikke alle pasientens behov for næringsstoffer kan oppfylles samtidig. Kliniske situasjoner kan foreligge hvor pasienten krever andre mengder næringsstoffer. I slike situasjoner skal påvirkningen av enhver volum (dose)-justering tas i betraktning mht. hvilken doseringseffekt dette har på alle andre ernæringskomponenter i Olimel .                 Voksne (alle infusjonsvæskene)                              Gjennomsnittlig daglig anbefaling: 0 16-0 35 g nitrogen/kg kroppsvekt (1-2 g aminosyrer/kg kroppsvekt) avhengig av ernæringsmessig status og grad av katabolsk stress  20-40 kcal/kg og 20-40 ml væske/kg  eller 1-1 5 ml pr. forbrukt kcal. For N12 og N12E: Spesielle populasjoner kan ha behov for opptil 0 4 g nitrogen/kg kroppsvekt (2 5 g aminosyrer/kg). Maks. daglig dose definert ved væskeinntak:                 ml/kg Aminosyrer                      (g/kg) Glukose                      (g/kg) Lipider                      (g/kg) Natrium                      (mmol/kg) Kalium                      (mmol/kg)     N4E 40 1 3 1 2 0 8 0 6   N5E 40 1 3 4 6 1 6 1 4 1 2   N7E 35 1 5 4 9 1 4 1 2 1 1   N9E 35 2 3 9 1 4 1 2 1 1   N12E 26 2 1 9 0 9       N9 35 2 3 9 1 4       N12 26 2 1 9 0 9        Maks. infusjonshastighet:               ml/kg/time Aminosyrer                      (g/kg/time) Glukose                      (g/kg/time) Lipider                      (g/kg/time)     N4E 3 2 0 08 0 24 0 1   N5E 2 1 0 07 0 24 0 08   N7E 1 7 0 08 0 24 0 07   N9E 1 8 0 1 0 19 0 07   N12E 1 3 0 1 0 1 0 05   N9 1 8 (unntatt i IDPN) 0 1 0 19 0 07   N12 1 3 (unntatt i IDPN) 0 1 0 1 0 05                       Voksne (Olimel N12 og N12E)               Kontinuerlig nyreerstatningsbehandling (CRRT): Maks. daglig dose definert ved inntak av aminosyrer  33 ml/kg som tilsv. 2 5 g/kg aminosyrer  2 4 g/kg glukose og 1 2 g/kg lipider. Pasienter med sykelig overvekt: Dosen bør beregnes ut fra idealvekt (IBW). Maks. daglig dose definert ved inntak av aminosyrer  33 ml/kg IBW tilsv. 2 5 g/kg aminosyrer  2 4 g/kg glukose og 1 2 g/kg lipider.                                Voksne (Olimel N9 og N12)               Intradialytisk parenteral ernæring (IDPN): Til ikke-akutt syke  underernærte pasienter. Beregning av hensiktsmessig formulering og volum  bør baseres på forholdet mellom anslåtte spontane inntak  f.eks. i en kostholdssamtale  og de anbefalte inntakene. I tillegg må metabolsk toleranse tas i betraktning. For Olimel N12 ved IDPN er maks. infusjonshastighet 2 7 ml/kg/time  tilsv. 0 2 g/kg/time aminosyrer  0 2 g/kg/time glukose og 0 09 g/kg/time lipider ved administrering over 4 timer. For Olimel N9 ved IDPN er maks. infusjonshastighet 3 6 ml/kg/time  tilsv. 0 2 g/kg/time aminosyrer  0 4 g/kg/time glukose og 0 14 g/kg/time lipider ved administrering over 4 timer.                                Barn 12-18 år (alle infusjonsvæskene)                              For N5E  N7E og Perifer N4E er begrensende faktorer magnesiumkonsentrasjon for daglig dose og glukosekonsentrasjon for hastighet pr. time. For N9 og N12 er begrensende faktor aminosyrekonsentrasjon både for daglig dose og for hastighet pr. time. For N9E og N12E er begrensende faktorer aminosyre- og magnesiumkonsentrasjon for daglig dose  og aminosyrekonsentrasjon for hastighet pr. time. Maks. daglig dose:                ml/kg Aminosyrer                      (g/kg) Glukose                      (g/kg) Lipider                      (g/kg) Total energi                      (kcal/kg)     N4E 45 1 1 3 4 1 4 31 5   N5E 33 1 1 3 8 1 3 32 7   N7E 25 1 1 3 5 1 0 28 5   N9E 35 2 3 9 1 4 37 5   N12E 26 2 1 9 0 9 24 7   N9 35 2 3 9 1 4 37 5   N12 26 2 1 9 0 9 24 7    Maks. infusjonshastighet:               ml/kg/time Aminosyrer                      (g/kg/time) Glukose                      (g/kg/time) Lipider                      (g/kg/time)     N4E 3 2 0 08 0 24 0 1   N5E 2 1 0 07 0 24 0 08   N7E 1 7 0 08 0 24 0 07   N9E 2 1 0 12 0 23 0 08   N12E 1 6 0 12 0 12 0 06   N9 2 1 0 12 0 23 0 08   N12 1 6 0 12 0 12 0 06                       Barn 2-11 år (alle infusjonsvæskene)                              For N5E er begrensende faktorer magnesiumkonsentrasjon for daglig dose og glukose- og lipidkonsentrasjon for hastighet pr. time. For N7E og N9E er begrensende faktorer magnesiumkonsentrasjon for daglig dose og glukosekonsentrasjon for hastighet pr. time. For N9 er begrensende faktorer aminosyrekonsentrasjon for daglig dose og glukosekonsentrasjon for hastighet pr. time. For N12 er begrensende faktorer aminosyrekonsentrasjon både for daglig dose og for hastighet pr. time. For N12E er begrensende faktorer aminosyre- og magnesiumkonsentrasjon for daglig dose og aminosyrekonsentrasjon for hastighet pr. time. For Perifer N4E er begrensende faktorer magnesiumkonsentrasjon for daglig dose og lipidkonsentrasjon for hastighet pr. time. Maks. daglig dose:                ml/kg Aminosyrer                      (g/kg/dag) Glukose                      (g/kg/dag) Lipider                      (g/kg/dag) Total energi                      (kcal/kg/dag)     N4E 45 1 1 3 4 1 4 31 5   N5E 33 1 1 3 8 1 3 32 7   N7E 25 1 1 3 5 1 0 28 5   N9E 25 1 4 2 8 1 0 26 8   N12E 33 2 5 2 4 1 2 31 4   N9 44 2 5 4 8 1 8 47 1   N12 33 2 5 2 4 1 2 31 4    Maks. infusjonshastighet:               ml/kg/time Aminosyrer                      (g/kg/time) Glukose                      (g/kg/time) Lipider                      (g/kg/time)     N4E 4 3 0 11 0 33 0 13   N5E 3 1 0 11 0 36 0 13   N7E 2 6 0 11 0 36 0 10   N9E 3 3 0 19 0 36 0 13   N12E 2 6 0 2 0 19 0 09   N9 3 3 0 19 0 36 0 13   N12 2 6 0 2 0 19 0 09     1 Anbefalte verdier fra 2018 ESPGHAN/ESPEN/ESPR retningslinjer.Til små barn anbefales det å starte med lav daglig dose  og gradvis øke til maks. dose.                   Spesielle pasientgrupper  Barn <2 år: Studier mangler. Se også Forsiktighetsregler.     Tilberedning/Håndtering Skal kun brukes hvis aminosyre- og glukosedelene er klare  fargeløse til svakt gule og fri for synlige partikler  lipidemulsjonen er homogen og melkeaktig  posen uskadet og forseglingene intakte. Se pakningsvedlegg. Blandbarhet: Alle tilsetninger (inkl. vitaminer) kan tilsettes den rekonstituerte blandingen. Vitaminer kan også tilføres glukosekammeret før blandingen rekonstitueres. Stabilitet for sporstoffer og vitaminer er påvist opptil anbefalt daglig dose. For informasjon om tilsetninger og kompatibilitet  kontakt Baxter AS. Skal ikke gis samtidig med eller etter blod gjennom samme utstyr  pga. risiko for pseudoagglutinasjon. Skal ikke kobles i serie pga. fare for luftembolisme.                Administrering Kun engangsbruk. Brukes umiddelbart etter åpning. Skal ikke oppbevares til senere bruk. Etter rekonstituering er blandingen homogen med et melkeaktig utseende. Anbefalt infusjonstid er 12-24 timer. Olimel:  Gis som i.v. infusjon i sentral vene. Olimel Perifer:  Gis som i.v. infusjon i sentral eller perifer vene. Ved tilsetninger skal blandingens endelige osmolaritet måles før bruk.
2956, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell overdosering: Overdosering/Forgiftning  SymptomerKvalme  oppkast  frysninger  hodepine  hetetokter  hyperhidrose og elektrolyttforstyrrelser samt tegn på hypervolemi eller acidose  som kan gi alvorlige eller fatale utfall (er sett ved overdose og/eller høyere infusjonshastighet). Hyperglykemi  glukosuri og et hyperosmolært syndrom kan utvikles hvis glukoseinfusjonshastigheten overskrider clearance. Redusert eller begrenset evne til å metabolisere lipider kan føre til fat overload-syndrom.               BehandlingInfusjonen avbrytes umiddelbart. Ytterligere intervensjon kan være indisert dersom medisinsk nødvendig. I alvorlige tilfeller kan hemodialyse  hemofiltrasjon eller hemodiafiltrasjon bli nødvendig.
2957, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell LastDateChangedSection: Sist endret: 11.10.2020               (priser og ev. refusjon oppdateres hver 14. dag)
2958, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell indikasjon: IndikasjonerParenteral ernæring til voksne og barn >2 år  når oral eller enteral ernæring er umulig  utilstrekkelig eller kontraindisert.
2959, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell spc-preparatomtale: SPC (preparatomtale)    Olimel INFUSJONSVÆSKE  emulsjon N5EGå til godkjent preparatomtale   Olimel INFUSJONSVÆSKE  emulsjon N7EGå til godkjent preparatomtale   Olimel INFUSJONSVÆSKE  emulsjon N9Gå til godkjent preparatomtale   Olimel INFUSJONSVÆSKE  emulsjon N9EGå til godkjent preparatomtale   Olimel INFUSJONSVÆSKE  emulsjon N12Gå til godkjent preparatomtale   Olimel INFUSJONSVÆSKE  emulsjon N12EGå til godkjent preparatomtale   Olimel Perifer INFUSJONSVÆSKE  emulsjon N4EGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument.
2960, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell vnrtabell: Pakninger  priser og refusjon  Olimel  INFUSJONSVÆSKE  emulsjon:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     N5E 4 × 1500 ml (trekammerpose) 083341 - 2 480 40 C   4 × 2000 ml (trekammerpose) 083353 - 2 399 60 C     Olimel  INFUSJONSVÆSKE  emulsjon:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     N7E 6 × 1000 ml (trekammerpose) 083375 - 2 324 40 C   4 × 1500 ml (trekammerpose) 083387 - 1 915 10 C   4 × 2000 ml (trekammerpose) 083398 - 2 252 70 C     Olimel  INFUSJONSVÆSKE  emulsjon:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     N9E 6 × 1000 ml (trekammerpose) 083420 - 2 823 90 C   4 × 1500 ml (trekammerpose) 083409 - 2 387 10 C     Olimel  INFUSJONSVÆSKE  emulsjon:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     N12E 10 × 650 ml (trekammerpose) 174149 - 4 748 50 C   6 × 1000 ml (trekammerpose) 583325 - 3 496 30 C   4 × 1500 ml (trekammerpose) 515272 - 2 709 20 C     Olimel  INFUSJONSVÆSKE  emulsjon:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     N9 6 × 1000 ml (trekammerpose) 083476 - 2 807 10 C   4 × 1500 ml (trekammerpose) 083487 - 2 373 30 C     Olimel  INFUSJONSVÆSKE  emulsjon:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     N12 10 × 650 ml (trekammerpose) 533313 - 4 748 50 C   6 × 1000 ml (trekammerpose) 059777 - 3 496 30 C   4 × 1500 ml (trekammerpose) 464993 - 2 709 20 C     Olimel Perifer  INFUSJONSVÆSKE  emulsjon:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     N4E 6 × 1000 ml (trekammerpose) 083296 - 2 094 10 C   4 × 1500 ml (trekammerpose) 083307 - 1 687 10 C   4 × 2000 ml (trekammerpose) 083318 - 2 033 40 C   2 × 2500 ml (trekammerpose) 083330 - 1 620 40 C         Individuell refusjon Infusjonsoppløsninger ved dehydrering eller til parenteral ernæring                 Legemidler: Infusjonsoppløsninger og infusjonskonsentrater (flere ulike)                 Indikasjon: Dehydrering som er så alvorlig at parenteral behandling med elektrolytter er nødvendig. Sykdom som er så alvorlig at parenteral ernæring er nødvendig. For blåreseptsøknad og -vedtak  se Tjenesteportal for helseaktører
2961, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell bivirkning: Bivirkninger Gå til bivirkningssøk                 Frekvensintervaller: Svært vanlige (≥1/10)  vanlige (≥1/100 til <1/10)  mindre vanlige (≥1/1000 til <1/100)  sjeldne (≥1/10 000 til <1/1000)  svært sjeldne (<1/10 000) og ukjent frekvens.                              I starten av infusjonen bør følgende unormale tegn føre til umiddelbart avbrudd av infusjonen: Svetting  feber  skjelving  hodepine  hudutslett  dyspné.                      Bivirkningsoppslag             Endre sortering til Frekvens      Organklasse Bivirkning   Blod/lymfe   Ukjent frekvens Trombocytopeni1   Gastrointestinale   Vanlige Abdominalsmerter  diaré  kvalme   Ukjent frekvens Oppkast1   Hjerte   Vanlige Takykardi   Immunsystemet   Ukjent frekvens Overfølsomhet1  overfølsomhetsreaksjon (inkl. hyperhidrose  feber  frysninger  hodepine  utslett (erytematøst  papuløst  pustuløst  makuløst  generalisert)  kløe  hetetokter  dyspné)1   Kar   Vanlige Hypertensjon   Ukjent frekvens Pulmonale vaskulære utfellinger (vaskulær lungeembolisme og respirasjonsdepresjon)1   Lever/galle   Ukjent frekvens Gulsott1  hepatomegali1  kolestase1   Nyre/urinveier   Ukjent frekvens Azotemi1   Skader/komplikasjoner   Svært sjeldne Fat overload-syndrom2   Ukjent frekvens Ekstravasasjon (som kan føre til smerte  irritasjon  hevelse/ødem  erytem/varme  hudnekrose  vesikler  inflammasjon  indurasjon  stram hud)1  leversykdom forbundet med parenteral ernæring1   Stoffskifte/ernæring   Vanlige Hypertriglyseridemi  redusert appetitt   Undersøkelser   Ukjent frekvens Økt ALP i blod1  økt bilirubin1  økte leverenzymer1  økte transaminaser1      1Bivirkninger beskrevet for tilsvarende produkter. 2Rapportert svært sjeldent for lignende produkter. Forbundet med plutselig forverring av kliniske tilstand  med funn som feber  anemi  leukopeni  trombocytopeni  koagulasjonsforstyrrelser  hyperlipidemi  fettinfiltrasjon i lever (hepatomegali)  nedsatt leverfunksjon og manifestasjoner knyttet til CNS (f.eks. koma). Vanligvis reversibelt når infusjon av lipidemulsjonen stanses.   Endre sortering til Organklasse      Frekvens Bivirkning   Vanlige   Gastrointestinale Abdominalsmerter  diaré  kvalme   Hjerte Takykardi   Kar Hypertensjon   Stoffskifte/ernæring Hypertriglyseridemi  redusert appetitt   Svært sjeldne   Skader/komplikasjoner Fat overload-syndrom2   Ukjent frekvens   Blod/lymfe Trombocytopeni1   Gastrointestinale Oppkast1   Immunsystemet Overfølsomhet1  overfølsomhetsreaksjon (inkl. hyperhidrose  feber  frysninger  hodepine  utslett (erytematøst  papuløst  pustuløst  makuløst  generalisert)  kløe  hetetokter  dyspné)1   Kar Pulmonale vaskulære utfellinger (vaskulær lungeembolisme og respirasjonsdepresjon)1   Lever/galle Gulsott1  hepatomegali1  kolestase1   Nyre/urinveier Azotemi1   Skader/komplikasjoner Ekstravasasjon (som kan føre til smerte  irritasjon  hevelse/ødem  erytem/varme  hudnekrose  vesikler  inflammasjon  indurasjon  stram hud)1  leversykdom forbundet med parenteral ernæring1   Undersøkelser Økt ALP i blod1  økt bilirubin1  økte leverenzymer1  økte transaminaser1      1Bivirkninger beskrevet for tilsvarende produkter. 2Rapportert svært sjeldent for lignende produkter. Forbundet med plutselig forverring av kliniske tilstand  med funn som feber  anemi  leukopeni  trombocytopeni  koagulasjonsforstyrrelser  hyperlipidemi  fettinfiltrasjon i lever (hepatomegali)  nedsatt leverfunksjon og manifestasjoner knyttet til CNS (f.eks. koma). Vanligvis reversibelt når infusjon av lipidemulsjonen stanses.              Rapportering av bivirkninger
2962, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell oppbevaring-holdbarhet: Oppbevaring og holdbarhetEtter rekonstituering: Stabilitet påvist for 7 dager ved 2-8°C etterfulgt av 48 timer ved høyst 25°C. Bør fra et mikrobiologisk synspunkt brukes umiddelbart. Brukeren er ansvarlig for oppbevaringstid og -forhold  som normalt bør være <24 timer ved 2-8°C  med mindre rekonstitueringen er utført under aseptiske forhold. Etter tilsetninger (elektrolytter  sporstoffer  vitaminer): For spesifikke tilsetninger er stabilitet påvist for 7 dager ved 2-8°C  etterfulgt av 48 timer ved <25°C. Bør fra et mikrobiologisk synspunkt brukes umiddelbart. Brukeren er ansvarlig for oppbevaringstid og -forhold  som normalt bør være <24 timer ved 2-8°C  med mindre tilsetninger er utført under aseptiske forhold. Skal ikke fryses. Oppbevares i ytterposen.
2963, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell kontraindikasjon: KontraindikasjonerPremature nyfødte  spedbarn og barn <2 år  overfølsomhet for egg-  soya- eller peanøttproteiner  mais/-produkter eller for innholdsstoffene  medfødte avvik i aminosyremetabolismen  alvorlig hyperlipidemi  eller alvorlige forstyrrelser i lipidmetabolismen karakterisert ved hypertriglyseridemi  alvorlig hyperglykemi. Gjelder N5E  N7E  N9E  N12E  Perifer N4E: Patologisk forhøyede plasmakonsentrasjoner av natrium  kalium  magnesium  kalsium og/eller fosfor.
2964, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell graviditet-amming: Graviditet  amming og fertilitet Mangler kliniske data ved bruk hos gravide eller ammende. Tatt i betraktning bruk og indikasjonene kan produktet  om nødvendig  vurderes ved graviditet og amming.
2965, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell BasedOnSPC: Basert på SPC godkjent av SLV/EMA: N5E: 07.06.2021 N4E  N7E  N9E  N9: 14.12.2020 N12  N12E: 20.09.2023
2966, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell deklarasjon: INFUSJONSVÆSKE  emulsjon N5E: Olimel: Olimel N5E 2000 ml består av en blanding av 400 ml fettemulsjon  800 ml aminosyreoppløsning med elektrolytter og 800 ml glukoseoppløsning med kalsium. 2000 ml inneh.: Renset olivenolje (ca. 80%) og renset soyaolje (ca. 20%) 80 g  alanin 9 52 g  arginin 6 45 g  aspartinsyre 1 9 g  glutaminsyre 3 29 g  glysin 4 56 g  histidin 3 93 g  isoleucin 3 29 g  leucin 4 56 g  lysin 5 18 g  metionin 3 29 g  fenylalanin 4 56 g  prolin 3 93 g  serin 2 6 g  treonin 3 29 g  tryptofan 1 1 g  tyrosin 0 17 g  valin 4 21 g  natriumacetat 2 99 g  natriumglyserofosfat 7 34 g  kaliumklorid 4 47 g  magnesiumklorid 1 62 g  kalsiumklorid 1 03 g  glukose 230 g  renset eggfosfolipid  glyserol  natriumoleat  natriumhydroksid  kons. eddiksyre  saltsyre  vann til injeksjonsvæsker. 2000 ml inneh.: Lipider 80 g  aminosyrer 65 8 g  nitrogen 10 4 g  glukose 230 g. Elektrolytter: Na+ 70 mmol  K+ 60 mmol  Mg2+ 8 mmol  Ca2+ 7 mmol  fosfat 30 mmol  acetat 73 mmol  klorid 90 mmol. Osmolaritet: 1120 mosmol/liter  pH 6 4. Energiinnh.: Totalt 1980 kcal  ikke-protein 1720 kcal  glukose 920 kcal  lipid 800 kcal. B05B A10INFUSJONSVÆSKE  emulsjon N7E: Olimel: Olimel N7E 1000 ml består av en blanding av 200 ml fettemulsjon  400 ml aminosyreoppløsning med elektrolytter og 400 ml glukoseoppløsning med kalsium. 1000 ml inneh.: Renset olivenolje (ca. 80%) og renset soyaolje (ca. 20%) 40 g  alanin 6 41 g  arginin 4 34 g  aspartinsyre 1 28 g  glutaminsyre 2 21 g  glysin 3 07 g  histidin 2 64 g  isoleucin 2 21 g  leucin 3 07 g  lysin 3 48 g  metionin 2 21 g  fenylalanin 3 07 g  prolin 2 64 g  serin 1 75 g  treonin 2 21 g  tryptofan 0 74 g  tyrosin 0 11 g  valin 2 83 g  natriumacetat 1 5 g  natriumglyserofosfat 3 67 g  kaliumklorid 2 24 g  magnesiumklorid 0 81 g  kalsiumklorid 0 52 g  glukose 140 g  renset eggfosfolipid  glyserol  natriumoleat  natriumhydroksid  kons. eddiksyre  saltsyre  vann til injeksjonsvæsker. 1000 ml inneh.: Lipider 40 g  aminosyrer 44 3 g  nitrogen 7 g  glukose 140 g. Elektrolytter: Na+ 35 mmol  K+ 30 mmol  Mg2+ 4 mmol  Ca2+ 3 5 mmol  fosfat 15 mmol  acetat 45 mmol  klorid 45 mmol. Osmolaritet: 1360 mosmol/liter  pH 6 4. Energiinnh.: Totalt 1140 kcal  ikke-protein 960 kcal  glukose 560 kcal  lipid 400 kcal. B05B A10INFUSJONSVÆSKE  emulsjon N9E: Olimel: Olimel N9E 1000 ml består av en blanding av 200 ml fettemulsjon  400 ml aminosyreoppløsning med elektrolytter og 400 ml glukoseoppløsning med kalsium. 1000 ml inneh.: Renset olivenolje (ca. 80%) og renset soyaolje (ca. 20%) 40 g  alanin 8 24 g  arginin 5 58 g  aspartinsyre 1 65 g  glutaminsyre 2 84 g  glysin 3 95 g  histidin 3 4 g  isoleucin 2 84 g  leucin 3 95 g  lysin 4 48 g  metionin 2 84 g  fenylalanin 3 95 g  prolin 3 4 g  serin 2 25 g  treonin 2 84 g  tryptofan 0 95 g  tyrosin 0 15 g  valin 3 64 g  natriumacetat 1 5 g  natriumglyserofosfat 3 67 g  kaliumklorid 2 24 g  magnesiumklorid 0 81 g  kalsiumklorid 0 52 g glukose 110 g  renset eggfosfolipid  glyserol  natriumoleat  natriumhydroksid  kons. eddiksyre  saltsyre.  vann til injeksjonsvæsker. 1000 ml inneh.: Lipider 40 g  aminosyrer 56 9 g  nitrogen 9 g  glukose 110 g. Elektrolytter: Na+ 35 mmol  K+ 30 mmol  Mg2+ 4 mmol  Ca2+ 3 5 mmol  fosfat 15 mmol  acetat 54 mmol  klorid 45 mmol. Osmolaritet: 1310 mosmol/liter  pH 6 4. Energiinnh.: Totalt 1070 kcal  ikke-protein 840 kcal  glukose 440 kcal  lipid 400 kcal. B05B A10INFUSJONSVÆSKE  emulsjon N12E: Olimel: Olimel N12E 1000 ml består av en blanding av 200 ml fettemulsjon  533 ml aminosyreoppløsning og 267 ml glukoseoppløsning med andre elektrolytter. 1000 ml inneh.: Renset olivenolje (ca. 80%) og renset soyaolje (ca. 20%) 35 g  alanin 10 99 g  arginin 7 44 g  aspartinsyre 2 2 g  glutaminsyre 3 79 g  glysin 5 26 g  histidin 4 53 g  isoleucin 3 79 g  leucin 5 26 g  lysin 5 97 g  metionin 3 79 g  fenylalanin 5 26 g  prolin 4 53 g  serin 3 g  treonin 3 79 g  tryptofan 1 26 g  tyrosin 0 2 g  valin 4 86 g  natriumacetattrihydrat 1 5 g  natriumglyserofosfat  hydrert 3 67 g  kaliumklorid 2 24 g  magnesiumkloridheksahydrat 0 81 g  kalsiumkloriddihydrat 0 52 g  glukose 73 33 g  renset eggfosfolipid  glyserol  natriumoleat  natriumhydroksid  kons. eddiksyre  saltsyre  vann til injeksjonsvæsker. 1000 ml inneh.: Lipider 35 g  aminosyrer 75 9 g  nitrogen 12 g  glukose 73 3 g. Elektrolytter: Natrium 35 mmol  kalium 30 mmol  magnesium 4 mmol  kalsium 3 5 mmol  fosfat 15 mmol  acetat 70 mmol  klorid 45 mmol. Osmolaritet: 1270 mosmol/liter  pH 6 4. Energiinnh.: Totalt 950 kcal  ikke-protein 640 kcal  glukose 290 kcal  lipid 350 kcal. B05B A10INFUSJONSVÆSKE  emulsjon N9: Olimel: Olimel N9 1000 ml består av en blanding av 200 ml fettemulsjon  400 ml aminosyreoppløsning og 400 ml glukoseoppløsning. 1000 ml inneh.: Renset olivenolje (ca. 80%) og renset soyaolje (ca. 20%) 40 g  alanin 8 24 g  arginin 5 58 g  aspartinsyre 1 65 g  glutaminsyre 2 84 g  glysin 3 95 g  histidin 3 4 g  isoleucin 2 84 g  leucin 3 95 g  lysin 4 48 g  metionin 2 84 g  fenylalanin 3 95 g  prolin 3 4 g  serin 2 25 g  treonin 2 84 g  tryptofan 0 95 g  tyrosin 0 15 g  valin 3 64 g  glukose 110 g  renset eggfosfolipid  glyserol  natriumoleat  natriumhydroksid  kons. eddiksyre  saltsyre  vann til injeksjonsvæsker. 1000 ml inneh.: Lipider 40 g  aminosyrer 56 9 g  nitrogen 9 g  glukose 110 g. Elektrolytter: Fosfat 3 mmol  acetat 40 mmol. Osmolaritet: 1170 mosmol/liter  pH 6 4. Energiinnh.: Totalt 1070 kcal  ikke-protein 840 kcal  glukose 440 kcal  lipid 400 kcal. Uten elektrolytter. B05B A10INFUSJONSVÆSKE  emulsjon N12: Olimel: Olimel N12 1000 ml består av en blanding av 200 ml fettemulsjon  533 ml aminosyreoppløsning og 267 ml glukoseoppløsning. 1000 ml inneh.: Renset olivenolje (ca. 80%) og renset soyaolje (ca. 20%) 35 g  alanin 10 99 g  arginin 7 44 g  aspartinsyre 2 2 g  glutaminsyre 3 79 g  glysin 5 26 g  histidin 4 53 g  isoleucin 3 79 g  leucin 5 26 g  lysin 5 97 g  metionin 3 79 g  fenylalanin 5 26 g  prolin 4 53 g  serin 3 g  treonin 3 79 g  tryptofan 1 26 g  tyrosin 0 2 g  valin 4 86 g  glukose 73 33 g  renset eggfosfolipid  glyserol  natriumoleat  natriumhydroksid  kons. eddiksyre  saltsyre  vann til injeksjonsvæsker. 1000 ml inneh.: Lipider 35 g  aminosyrer 75 9 g  nitrogen 12 g  glukose 73 3 g. Elektrolytter: Fosfat 2 6 mmol  acetat 54 mmol. Osmolaritet: 1130 mosmol/liter  pH 6 4. Energiinnh.: Totalt 950 kcal  ikke-protein 640 kcal  glukose 290 kcal  lipid 350 kcal. Uten elektrolytter. B05B A10INFUSJONSVÆSKE  emulsjon N4E: Olimel Perifer: Olimel Perifer N4E 1000 ml består av en blanding av 200 ml fettemulsjon  400 ml aminosyreoppløsning med elektrolytter og 400 ml glukoseoppløsning med kalsium. 1000 ml inneh.: Renset olivenolje (ca. 80%) og renset soyaolje (ca. 20%) 30 g  alanin 3 66 g  arginin 2 48 g  aspartinsyre 0 73 g  glutaminsyre 1 26 g  glysin 1 76 g  histidin 1 51 g  isoleucin 1 26 g  leucin 1 76 g  lysin 1 99 g  metionin 1 26 g  fenylalanin 1 76 g  prolin 1 51 g  serin 1 g  treonin 1 26 g  tryptofan 0 42 g  tyrosin 0 06 g  valin 1 62 g  natriumacetat 1 16 g  natriumglyserofosfat 1 91 g  kaliumklorid 1 19 g  magnesiumklorid 0 45 g  kalsiumklorid 0 3 g  glukose 75 g  renset eggfosolipid  glyserol  natriumoleat  natriumhydroksid  kons. eddiksyre  saltsyre  vann til injeksjonsvæsker. 1000 ml inneh.: Lipider 30 g  aminosyrer 25 3 g  nitrogen 4 g  glukose 75 g. Elektrolytter: Na+ 21 mmol  K+ 16 mmol  Mg2+ 2 2 mmol  Ca2+ 2 mmol  fosfat 8 5 mmol  acetat 27 mmol  klorid 24 mmol. Osmolaritet: 760 mosmol/liter  pH 6 4. Energiinnh.: Totalt 700 kcal  ikke-protein 600 kcal  glukose 300 kcal  lipid 300 kcal. B05B A10
2967, Olimel Olimel Perifer Baxter (Baxter AS) : Kapitell egenskap: Egenskaper og miljø  KlassifiseringParenteralt ernæringspreparat med aminosyrer  fett og karbohydrater for i.v. administrering. Olimel Perifer N4E  Olimel N5E  N7E  N9E  N12E er tilsatt elektrolytter. Olimel N9 og N12 er elektrolyttfri.
